code,employee_name,group,item_code,item_group_name,category,brand,item_name,qty,price,total,i_group
S-01-12-2023-274294,Safayet - 163,B.City,4962,New Devices,Samsung Tab,Samsung,Samsung TAB A8 4/64GB LTE Gray (New) - SM-X205,1,28500,28500.0,Devices
S-01-12-2023-274293,Omar - 316,S.Shomvar,3728,Speaker / Headphone,Airpods / Buds / Dots,OnePlus,OnePlus Buds Z2 - White,1,5500,5500.0,Sound Tech
S-01-12-2023-274292,Rocon - 182,Rupayan L.Tower,22035,Outfits,Phone Cover,,Silicone Protective Case with MagSafe for iPhone 14 - Midnight,1,1000,1000.0,N|A
S-01-12-2023-274289,Mehedi - 165,B.City,22367,New Devices,Samsung Mobile,Samsung,Samsung S22 5G 8/128GB Phantom Black Dual Sim (New),1,60500,60500.0,Devices
S-01-12-2023-274288,Ashish - 014,TS,22882,New Devices,iPhone,Apple,iPhone 15 Pro Max 256GB Natural Titanium e-Sim (New),1,170500,170500.0,Devices
S-01-12-2023-274288,Ashish - 014,TS,574,Apple Accessories,Power Adapter,Apple,Apple 20W USB-C Power Adapter 2Pin (New),1,3000,3000.0,Power Tech
S-01-12-2023-274288,Ashish - 014,TS,22808,Outfits,Phone Cover,Momax,Momax CaseForm PLAY Magnetic Case for iPhone 15 Pro Max - Transparent,1,1500,1500.0,N|A
S-01-12-2023-274288,Ashish - 014,TS,23344,Outfits,Phone Screen Protector,Anank,Anank 3D Curved Clear Screen Protector for iPhone 15 Pro Max,1,750,750.0,N|A
S-01-12-2023-274288,Ashish - 014,TS,23817,Outfits,Phone Camera Protector,kuzoom,Kuzoom Lens Protector for iPhone 15 Pro / 15 Pro Max - Natural,1,650,650.0,N|A
S-01-12-2023-274287,Matin - 209,JFP,23338,Outfits,Phone Screen Protector,Anank,Anank 2.5D Anti-Blue Glass Screen Protector for iPhone 15 Pro Max,1,1050,1050.0,N|A
S-01-12-2023-274287,Matin - 209,JFP,20019,Outfits,Phone Cover,,Creative Metal Lens Protection Case for iPhone 14 Pro Max - Sierra Blue,1,450,450.0,N|A
S-01-12-2023-274287,Matin - 209,JFP,6723,New Devices,iPhone,Apple,iPhone 14 Pro Max 256GB Deep Purple e-Sim (New),1,159000,159000.0,Devices
S-01-12-2023-274287,Matin - 209,JFP,574,Apple Accessories,Power Adapter,Apple,Apple 20W USB-C Power Adapter 2Pin (New),1,3000,3000.0,Power Tech
S-01-12-2023-274285,Zahid - 217,B.City,23338,Outfits,Phone Screen Protector,Anank,Anank 2.5D Anti-Blue Glass Screen Protector for iPhone 15 Pro Max,1,1050,1050.0,N|A
S-01-12-2023-274285,Zahid - 217,B.City,22808,Outfits,Phone Cover,Momax,Momax CaseForm PLAY Magnetic Case for iPhone 15 Pro Max - Transparent,1,1500,1500.0,N|A
S-01-12-2023-274285,Zahid - 217,B.City,23817,Outfits,Phone Camera Protector,kuzoom,Kuzoom Lens Protector for iPhone 15 Pro / 15 Pro Max - Natural,1,850,850.0,N|A
S-01-12-2023-274285,Zahid - 217,B.City,574,Apple Accessories,Power Adapter,Apple,Apple 20W USB-C Power Adapter 2Pin (New),1,3000,3000.0,Power Tech
S-01-12-2023-274284,Abu Sufian - 183,B.City,23702,Outfits,Airpods Case,K-Doo,KZDOO Crashguard Protective Case for Airpods Pro 2 - Grey,1,1150,1150.0,N|A
S-01-12-2023-274284,Abu Sufian - 183,B.City,6980,Outfits,Phone Screen Protector,Joyroom,Joyroom Privacy Glass Protector for iPhone 14 Pro Max,1,1000,1000.0,N|A
S-01-12-2023-274284,Abu Sufian - 183,B.City,22954,Apple Accessories,Airpods / Buds / Dots,Apple,Apple AirPods Pro 2nd Generation With USB-C (New),1,29500,29500.0,Sound Tech
S-01-12-2023-274282,Shawon - 031,B.City,23555,Outfits,Phone Cover,,Clear Case with MagSafe for iPhone 15 Pro Max,1,1000,1000.0,N|A
S-01-12-2023-274282,Shawon - 031,B.City,22887,Outfits,Phone Screen Protector,Joyroom,Joyroom Privacy Glass Protector for iPhone 15 Pro Max,1,1100,1100.0,N|A
S-01-12-2023-274282,Shawon - 031,B.City,574,Apple Accessories,Power Adapter,Apple,Apple 20W USB-C Power Adapter 2Pin (New),1,3000,3000.0,Power Tech
S-01-12-2023-274282,Shawon - 031,B.City,22880,New Devices,iPhone,Apple,iPhone 15 Pro Max 256GB Natural Titanium Dual Sim (New),1,170500,170500.0,Devices
S-01-12-2023-274281,Arif - 007,B.City,22678,Speaker / Headphone,Airpods / Buds / Dots,WiWu,WiWU Airbuds Pro 2 Lite ANC,1,2350,2350.0,Sound Tech
S-01-12-2023-274281,Arif - 007,B.City,23817,Outfits,Phone Camera Protector,kuzoom,Kuzoom Lens Protector for iPhone 15 Pro / 15 Pro Max - Natural,1,800,800.0,N|A
S-01-12-2023-274281,Arif - 007,B.City,23837,Outfits,Phone Screen Protector,WiWu,WiWU SQ-005 Easy Install Tempered Glass for iPhone 15 Pro Max - Clear,1,1000,1000.0,N|A
S-01-12-2023-274281,Arif - 007,B.City,23785,Outfits,Phone Cover,WiWu,WiWU Jelly Magsafe Case for iPhone 15 Pro Max - Orange,1,1500,1500.0,N|A
S-01-12-2023-274281,Arif - 007,B.City,574,Apple Accessories,Power Adapter,Apple,Apple 20W USB-C Power Adapter 2Pin (New),1,3000,3000.0,Power Tech
S-01-12-2023-274281,Arif - 007,B.City,22882,New Devices,iPhone,Apple,iPhone 15 Pro Max 256GB Natural Titanium e-Sim (New),1,170500,170500.0,Devices
S-01-12-2023-274280,Omar - 316,S.Shomvar,19777,Power & Smart Tech,Power Adapter,Anker,Anker 511 Charger Nano Pro - 20W - White,1,1600,1600.0,Power Tech
S-01-12-2023-274279,Ayan - 119,B.City,23697,Outfits,Airpods Case,K-Doo,KZDOO Crashguard Protective Case for Airpods Pro 2 - Silver,1,1150,1150.0,N|A
S-01-12-2023-274279,Ayan - 119,B.City,21663,Outfits,Phone Screen Protector,WiWu,WiWU iVista Super Hardness Glass For iPhone 14 Pro,1,800,800.0,N|A
S-01-12-2023-274279,Ayan - 119,B.City,21038,Outfits,Phone Cover,,PQY Car Series Case for iPhone 14 Pro - Purple,1,1200,1200.0,N|A
S-01-12-2023-274268,Mahmud - 337,TS,19858,Power & Smart Tech,Power Adapter,Anker,Anker 511 Charger Nano 3 - 30W - White,1,1650,1650.0,Power Tech
S-01-12-2023-274267,Omar - 316,S.Shomvar,7279,Power & Smart Tech,Power Adapter,Samsung,Samsung 45W USB C Wall Charger With Type C Cable 3pin - 5A/1.8M - Black,1,3900,3900.0,Power Tech
S-01-12-2023-274267,Omar - 316,S.Shomvar,19852,New Devices,Samsung Mobile,Samsung,Samsung S23 Ultra 5G 12/256GB Phantom Black Dual Sim SD (New),1,107000,107000.0,Devices
S-01-12-2023-274264,Bappy - 336,TS,7594,New Devices,Google Mobile,Google,Google Pixel 7 Pro 12/128GB Obsidian (New),1,81000,81000.0,Devices
S-01-12-2023-274263,Ayan - 119,B.City,22936,Speaker / Headphone,Wireless Headphone,OnePlus,OnePlus Bullets Wireless Z2 ANC - Black,1,3700,3700.0,Sound Tech
S-01-12-2023-274263,Ayan - 119,B.City,23830,Outfits,iPad Screen Protector,WiWu,WiWu iVista Super Hardness Glass for iPad 10.9/11 inch,1,1500,1500.0,N|A
S-01-12-2023-274263,Ayan - 119,B.City,22099,Outfits,iPad Cover,Levelo,Levelo Leather Flip Case for iPad 10.9 / 11 inch - Black,1,1800,1800.0,N|A
S-01-12-2023-274263,Ayan - 119,B.City,21691,New Devices,iPad,Apple,iPad Pro M2 11 128GB WiFi+Cellular Silver (New),1,101500,101500.0,Devices
S-01-12-2023-274261,Safayet - 163,B.City,21291,Outfits,iPad Screen Protector,WiWu,WiWu Paperlike Screen Protector for iPad 10.2 inch,1,1000,997.62,N|A
S-01-12-2023-274261,Safayet - 163,B.City,22091,Outfits,iPad Cover,Levelo,Levelo Leather Flip Case for iPad 10.2 inch - Dark Blue,1,1600,1596.2,N|A
S-01-12-2023-274261,Safayet - 163,B.City,3362,New Devices,iPad,Apple,iPad 9th Gen 64GB WiFi Space Gray (New),1,39500,39406.18,Devices
S-01-12-2023-274260,Juel - 317,M.Plaza,22956,Outfits,Phone Cover,Xundd,Xundd Bumper Case for Redmi Note 12 4G,1,600,600.0,N|A
S-01-12-2023-274258,Juel - 317,M.Plaza,21842,Outfits,Smart Watch Accessories,WiWu,WiWU JD101 Defender Watch Case 44mm - Black,1,950,950.0,N|A
S-01-12-2023-274255,Mahmud - 337,TS,334,Apple Accessories,Stylus/Pencil,Apple,Apple Pencil 2 (New),1,13500,13500.0,Smart Tech
S-01-12-2023-274254,Munna - 053,JFP,4469,New Devices,Samsung Mobile,Samsung,Samsung S21 FE 5G 8/256GB Olive Dual Sim (New),1,51000,51000.0,Devices
S-01-12-2023-274253,Arif - 007,B.City,1738,Outfits,Macbook Screen Protector,WiWu,WiWu Screen Protector for MacBook Air/Pro - M1 & Pro - M2 - 13 inch,1,1200,1200.0,N|A
S-01-12-2023-274253,Arif - 007,B.City,3422,Laptop + iPad Accessories,Hubs and Docks,Baseus,Baseus Metal Gleam Series/ Starjoy 5 in 1 Multifunctional Type-C HUB,1,2950,2950.0,Smart Tech
S-01-12-2023-274253,Arif - 007,B.City,331,New Devices,MacBook,Apple,Apple MacBook Air 13 M1 8-CPU 7-GPU 8/256GB Space Gray - MGN63 (New),1,100000,100000.0,Devices
S-01-12-2023-274252,Zahid - 217,B.City,23131,Outfits,Phone Cover,,Spigen Ultra Hybrid Crystal Clear Case for iPhone 15 Pro Max - Matte Black,2,900,1800.0,N|A
S-01-12-2023-274252,Zahid - 217,B.City,23817,Outfits,Phone Camera Protector,kuzoom,Kuzoom Lens Protector for iPhone 15 Pro / 15 Pro Max - Natural,1,850,850.0,N|A
S-01-12-2023-274252,Zahid - 217,B.City,23345,Outfits,Phone Camera Protector,Anank,Anank AR Circle Lens Guard for iPhone 15 Pro/15 Pro Max - Blue,1,850,850.0,N|A
S-01-12-2023-274252,Zahid - 217,B.City,23328,Outfits,Phone Screen Protector,,Spigen Glas tR EZ Fit Full Cover Screen Protector for iPhone 15 Pro Max - OEM - Transparent,2,1200,2400.0,N|A
S-01-12-2023-274252,Zahid - 217,B.City,574,Apple Accessories,Power Adapter,Apple,Apple 20W USB-C Power Adapter 2Pin (New),2,3000,6000.0,Power Tech
S-01-12-2023-274252,Zahid - 217,B.City,22882,New Devices,iPhone,Apple,iPhone 15 Pro Max 256GB Natural Titanium e-Sim (New),1,170500,170500.0,Devices
S-01-12-2023-274251,Shawon - 031,B.City,22882,New Devices,iPhone,Apple,iPhone 15 Pro Max 256GB Natural Titanium e-Sim (New),1,170500,170500.0,Devices
S-01-12-2023-274251,Shawon - 031,B.City,22997,Outfits,Phone Cover,Momax,Momax CaseForm PLAY Magnetic Case for iPhone 15 Pro Max - Black,1,1500,1500.0,N|A
S-01-12-2023-274251,Shawon - 031,B.City,23328,Outfits,Phone Screen Protector,,Spigen Glas tR EZ Fit Full Cover Screen Protector for iPhone 15 Pro Max - OEM - Transparent,1,1200,1200.0,N|A
S-01-12-2023-274251,Shawon - 031,B.City,574,Apple Accessories,Power Adapter,Apple,Apple 20W USB-C Power Adapter 2Pin (New),1,3000,3000.0,Power Tech
S-01-12-2023-274248,Abu Sufian - 183,B.City,23623,Outfits,Phone Cover,,Silicone Case With MagSafe for iPhone 15 - Winter Blue,1,1200,1200.0,N|A
S-01-12-2023-274246,Shakil-312,JFP,23290,New Devices,Laptop,Lenovo,Lenovo IdeaPad Slim 3 15IRU8 15.6 Intel i3 - 1305U Intel Integrated UHD 8/256GB - Arctic Gray,1,55000,55000.0,N|A
S-01-12-2023-274244,Ashish - 014,TS,21503,Power & Smart Tech,Casting Device,Xiaomi,Xiaomi TV Box S 2nd Gen 4K,1,6000,6000.0,Smart Tech
S-01-12-2023-274243,Ismail - 250,M.Plaza,6634,Outfits,Phone Screen Protector,Artoriz,Artoriz Glass Protector for iPhone 14 Pro,1,600,600.0,N|A
S-01-12-2023-274240,Omar - 316,S.Shomvar,5358,Power & Smart Tech,Power Adapter,Samsung,Samsung 25W USB-C Wall Charger 2Pin - Black,1,2000,2000.0,Power Tech
S-01-12-2023-274238,Arif - 007,B.City,3539,New Devices,iPhone,Apple,iPhone 13 128GB Midnight e-Sim (New),1,78500,78500.0,Devices
S-01-12-2023-274237,Rocon - 182,Rupayan L.Tower,243,Speaker / Headphone,Airpods / Buds / Dots,Joyroom,Joyroom JR-T03S Pro TWS,1,3000,3000.0,Sound Tech
S-01-12-2023-274235,Rocon - 182,Rupayan L.Tower,21766,New Devices,Samsung Mobile,Samsung,Samsung A24 8/128GB Black (New),1,24000,24000.0,Devices
S-01-12-2023-274234,Ismail - 250,M.Plaza,22678,Speaker / Headphone,Airpods / Buds / Dots,WiWu,WiWU Airbuds Pro 2 Lite ANC,1,2350,2350.0,Sound Tech
S-01-12-2023-274233,Ayan - 119,B.City,21652,New Devices,MacBook,Apple,Apple MacBook Air 15'' M2 8-CPU 10-GPU 8/256GB Midnight - MQKW3 (New),1,148000,148000.0,Devices
S-01-12-2023-274232,Abu Sufian - 183,B.City,5616,Power & Smart Tech,Power Adapter,Anker,Anker PowerPort III 20W Cube,1,1150,1150.0,Power Tech
S-01-12-2023-274230,Safayet - 163,B.City,6723,New Devices,iPhone,Apple,iPhone 14 Pro Max 256GB Deep Purple e-Sim (New),1,159000,159000.0,Devices
S-01-12-2023-274230,Safayet - 163,B.City,574,Apple Accessories,Power Adapter,Apple,Apple 20W USB-C Power Adapter 2Pin (New),1,3000,3000.0,Power Tech
S-01-12-2023-274230,Safayet - 163,B.City,6980,Outfits,Phone Screen Protector,Joyroom,Joyroom Privacy Glass Protector for iPhone 14 Pro Max,1,1000,1000.0,N|A
S-01-12-2023-274229,Munna - 053,JFP,2123,Power & Smart Tech,Power Bank,Baseus,Baseus Adaman Metal Digital Display 22.5W Power Bank 20000mAh,1,2250,2250.0,Power Tech
S-01-12-2023-274225,Mahmud - 337,TS,22987,Smart Watch,Smart Watch,Amazfit,Amazfit Pop 3R Calling Smart Watch - Black,1,5050,5050.0,Smart Watch
S-01-12-2023-274223,Abu Sufian - 183,B.City,21228,New Devices,Samsung Mobile,Samsung,Samsung A54 5G 8/128GB Awesome Lime (New),1,36000,36000.0,Devices
S-01-12-2023-274221,Shawon - 031,B.City,23346,Outfits,Phone Camera Protector,Anank,Anank AR Circle Lens Guard for iPhone 15 Pro/15 Pro Max - Black,1,850,850.0,N|A
S-01-12-2023-274221,Shawon - 031,B.City,22809,Outfits,Phone Cover,,Spigen Ultra Hybrid Crystal Clear Case for iPhone 15 Pro Max - Crystal Clear,1,880,880.0,N|A
S-01-12-2023-274221,Shawon - 031,B.City,22887,Outfits,Phone Screen Protector,Joyroom,Joyroom Privacy Glass Protector for iPhone 15 Pro Max,1,1100,1100.0,N|A
S-01-12-2023-274221,Shawon - 031,B.City,574,Apple Accessories,Power Adapter,Apple,Apple 20W USB-C Power Adapter 2Pin (New),1,3000,3000.0,Power Tech
S-01-12-2023-274221,Shawon - 031,B.City,22882,New Devices,iPhone,Apple,iPhone 15 Pro Max 256GB Natural Titanium e-Sim (New),1,170500,170500.0,Devices
S-01-12-2023-274219,Matin - 209,JFP,23125,Outfits,Phone Camera Protector,kuzoom,Kuzoom Lens Protector for iPhone 15 Pro / 15 Pro Max - Black,1,650,650.0,N|A
S-01-12-2023-274219,Matin - 209,JFP,23279,Outfits,Phone Screen Protector,,Spigen Glas tR Slim HD for iPhone 15 Pro Max - OEM,1,1100,1100.0,N|A
S-01-12-2023-274219,Matin - 209,JFP,23714,New Devices,iPhone,Apple,iPhone 15 Pro Max 256GB Black Titanium e-Sim (New),1,169000,169000.0,Devices
S-01-12-2023-274219,Matin - 209,JFP,574,Apple Accessories,Power Adapter,Apple,Apple 20W USB-C Power Adapter 2Pin (New),1,3000,3000.0,Power Tech
S-01-12-2023-274218,Rocon - 182,Rupayan L.Tower,243,Speaker / Headphone,Airpods / Buds / Dots,Joyroom,Joyroom JR-T03S Pro TWS,1,3000,3000.0,Sound Tech
S-01-12-2023-274215,Juel - 317,M.Plaza,19757,Outfits,Phone Cover,Samsung,Samsung Galaxy S23 Ultra Smart View Wallet Case - Green,1,4400,4400.0,N|A
S-01-12-2023-274214,Mehedi - 191,TS,19743,Outfits,iPad Cover,Xundd,Xundd Smart Magnetic Flip Case for iPad Pro 12.9 inch - Black,1,2000,2000.0,N|A
S-01-12-2023-274214,Mehedi - 191,TS,3407,Laptop + iPad Accessories,Stylus/Pencil,WiWu,WiWU Pencil Pro,1,2900,2900.0,Smart Tech
S-01-12-2023-274213,Mehedi - 165,B.City,22882,New Devices,iPhone,Apple,iPhone 15 Pro Max 256GB Natural Titanium e-Sim (New),1,170500,170500.0,Devices
